                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.63206,                0.51762,                 1.0045,                0.94313,                0.96517,                0.98659,                0.85264,                0.54273,                0.38919,                0.88417,              0.0098099,              0.0098099,              0.0098099
                     98,                0.63891,                0.53566,                 1.0232,                0.93179,                0.97441,                0.98577,                0.85738,                0.53855,                0.37597,                0.87912,              0.0098079,              0.0098079,              0.0098079
                     99,                0.63228,                0.52852,                 1.0155,                0.94159,                0.95707,                0.98723,                0.85509,                0.55263,                0.38771,                0.89068,               0.009806,               0.009806,               0.009806
                    100,                0.62733,                0.51906,                 1.0092,                0.93455,                0.96927,                0.98635,                 0.8544,                0.54582,                0.36946,                0.88402,               0.009804,               0.009804,               0.009804
                    101,                0.62524,                0.51645,                 1.0073,                0.92452,                0.97309,                0.98572,                 0.8596,                0.54363,                0.37285,                0.88425,               0.009802,               0.009802,               0.009802
                    102,                 0.6368,                0.50556,                 1.0092,                0.95042,                0.96126,                0.98528,                0.85044,                  0.543,                0.39128,                0.88785,                 0.0098,                 0.0098,                 0.0098
                    103,                0.63727,                0.51397,                 1.0173,                0.94029,                0.96323,                0.98726,                0.86406,                0.53465,                0.37462,                0.88148,               0.009798,               0.009798,               0.009798
                    104,                0.62652,                0.52234,                 1.0087,                0.93022,                0.96861,                0.98468,                0.85584,                0.52794,                0.36044,                 0.8748,              0.0097961,              0.0097961,              0.0097961
                    105,                0.63358,                 0.5025,                 1.0032,                0.94653,                0.95796,                0.98334,                0.85686,                0.53373,                0.41758,                0.87616,              0.0097941,              0.0097941,              0.0097941
                    106,                0.62682,                0.50411,                 1.0038,                0.94445,                0.96006,                0.98832,                0.86231,                0.53457,                0.43482,                0.87981,              0.0097921,              0.0097921,              0.0097921
                    107,                0.60623,                0.48424,                0.99693,                0.93841,                0.95605,                0.98605,                0.85887,                0.53158,                0.36442,                0.87758,              0.0097901,              0.0097901,              0.0097901
                    108,                0.63116,                0.52776,                 1.0126,                0.94677,                0.95627,                0.98633,                0.86314,                0.52461,                0.36472,                0.86703,              0.0097881,              0.0097881,              0.0097881
